"Structure_ID"	"Hypergeo_pval"	"Original_molecule_SMILES"	"Supplier"	"Supplier_ID"	"Supplier_Molname"	"Supplier_Data_1"	"Supplier_Data_2"	"Supplier_Data_3"
"1"	"4"	"1"	"BrC1=CC2=C3C(C=CC=C3C1=O)=CC=C2"	"NCI"	"GPHR-00220245"	NA	NA	NA	NA
"2"	"5"	"1"	"BrC1C(Br)C(Br)C(Br)C(Br)C1Br"	"Tocris"	"2291"	"1,2,3,4,5,6-Hexabromocyclohexane"	"CAS: 1837-91-8"	"Inhibits Jak2 autophosphorylation"	NA
"3"	"7"	"1"	"BrCCC(=O)N1CCN(CC1)C(=O)CCBr"	"NCI"	"GPHR-00101651"	NA	NA	NA	NA
"4"	"11"	"1"	"BrC=C1/CCC(C(=O)O1)C1=CC=CC2=CC=CC=C12"	"LOPAC"	"B1552"	"Bromoenol lactone; BEL; E-6-(Bromoethylene)tetrahydro-3-(1-naphthyl)-2H-pyran-2-one"	"Calcium-independent phospholipase A2 inhibitor; magnesium-dependent phosphatidate phosphohydrolase inhibitor"	NA	NA
"5"	"12"	"1"	"BrC1=C2NN=NC2=C(Br)C(Br)=C1Br"	"Tocris"	"2275"	"TBB"	"CAS: 17374-26-4"	"cell-permeable CK2 inhibitor"	NA
"6"	"13"	"1"	"BrC1=C2N=CC=NC2=CC=C1NC1=NCCN1"	"John Hopkins"	"JHU- 1369"	NA	"Therapeutic area: Antiglaucoma"	NA	NA
"7"	"15"	"1"	"BrC1=C(NC2=NCCN2)C=CC2=C1N=CC=N2"	"LOPAC"	"U104"	"UK 14,304; 5-Bromo-N-(4,5-dihydro-1H-imidazol-2-yl)-6-quinoxalinamine"	"alpha2 Adrenoceptor agonist"	NA	NA
"8"	"18"	"1"	"BrC1=C(N=C2NN=C(NC(=O)C3CC3)C2=C1)C1=CC=CC=C1"	"PKIS2"	"SB-708998"	NA	NA	NA	NA
"9"	"19"	"1"	"BrC1=CC2=C(NN=C2NC(=O)C2CC2)N=C1C1=CC=CO1"	"PKIS1"	"SB-739452"	NA	"6-Heteroaryl-pyrazolo[3,4-b]pyridines: potent and selective inhibitors of glycogen synthase kinase-3 (GSK-3).    Bioorganic & Medicinal Chemistry Letters  (2003),  13(18),  3059-3062."	NA	NA
"10"	"20"	"1"	"BrC1=C(N=C2NN=C(NC(=O)C3CC3)C2=C1)C1=CC=CS1"	"PKIS2"	"SB-735297"	NA	NA	NA	NA
