"gene"	"p_value"	"estimate"	"BH"
"1"	"SAMD11"	1	0	1
"2"	"NOL9"	1	0	1
"3"	"HNRNPCL1"	0.315487302314114	3.67391382113383	1
"4"	"HSPG2"	1	0	1
"5"	"OPRD1"	1	0	1
"6"	"EVA1B"	0.246169560776302	5.5131938040198	1
"7"	"MEAF6"	1	0	1
"8"	"NOTCH2"	1	0	1
"9"	"POLR3C"	0.0888888888888888	Inf	0.633828160143949
"10"	"THEM4"	1	0	1
"11"	"SLC27A3"	1	0	1
"12"	"LRRC71"	0.0888888888888888	Inf	0.633828160143949
"13"	"TOR3A"	1	0	1
"14"	"KCNT2"	1	0	1
"15"	"DNAH14"	1	0	1
"16"	"NCOA4"	1	0	1
"17"	"PCDH15"	0.170786516853933	10.8909548109933	0.827504134275072
"18"	"MGEA5"	1	0	1
"19"	"SORCS1"	1	0	1
"20"	"AFAP1L2"	0.170786516853933	10.8909548109933	0.827504134275072
"21"	"CPXM2"	1	0	1
"22"	"MUC2"	1	0	1
"23"	"EIF3F"	1	0	1
"24"	"TTC17"	1	0	1
"25"	"CDC42BPG"	1	0	1
"26"	"RAD9A"	1	0	1
"27"	"AMDHD1"	1	0	1
"28"	"MEDAG"	1	0	1
"29"	"ZFP36L1"	1	0	1
"30"	"HHIPL1"	1	0	1
"31"	"LTK"	0.0888888888888888	Inf	0.633828160143949
"32"	"C2CD4B"	1	0	1
"33"	"ADAMTS7"	1	0	1
"34"	"FES"	1	0	1
"35"	"ARRDC4"	1	0	1
"36"	"CACNA1H"	1	0	1
"37"	"ZNF598"	1	0	1
"38"	"APOBR"	0.0200204290091931	24.56021585398	0.633828160143949
"39"	"IRX3"	1	0	1
"40"	"CCDC102A"	0.170786516853933	10.8909548109933	0.827504134275072
"41"	"ADAD2"	0.343998892936042	0	1
"42"	"ZFPM1"	1	0	1
"43"	"ANKRD11"	1	0	1
"44"	"MYO15A"	1	0	1
"45"	"VTN"	1	0	1
"46"	"AKAP1"	1	0	1
"47"	"SLC14A1"	1	0	1
"48"	"ABCA7"	1	0	1
"49"	"ABHD17A"	0.615916306839715	1.75624003348297	1
"50"	"SYDE1"	1	0	1
"51"	"UPK1A"	1	0	1
"52"	"RINL"	1	0	1
"53"	"ASPDH"	1	0	1
"54"	"NOTO"	0.170786516853933	10.8909548109933	0.827504134275072
"55"	"THNSL2"	0.0200204290091931	24.56021585398	0.633828160143949
"56"	"KIAA1715"	1	0	1
"57"	"C20orf194"	0.170786516853933	10.8909548109933	0.827504134275072
"58"	"RBPJL"	1	0	1
"59"	"TMEM189-UBE2V1"	1	0	1
"60"	"OGFR"	1	0	1
"61"	"KCNQ2"	1	0	1
"62"	"XBP1"	0.0888888888888888	Inf	0.633828160143949
"63"	"APEH"	1	0	1
"64"	"DZIP3"	1	0	1
"65"	"KIAA2018"	1	0	1
"66"	"SEMA5B"	1	0	1
"67"	"MME"	1	0	1
"68"	"NLGN1"	1	0	1
"69"	"IDUA"	0.246169560776302	5.5131938040198	1
"70"	"OTOP1"	0.0888888888888888	Inf	0.633828160143949
"71"	"NWD2"	1	0	1
"72"	"UGT2B11"	1	0	1
"73"	"SLC22A5"	1	0	1
"74"	"PROB1"	0.170786516853933	10.8909548109933	0.827504134275072
"75"	"TNRC18"	1	0	1
"76"	"SP8"	1	0	1
"77"	"HOXA10"	1	0	1
"78"	"GARS"	0.170786516853933	10.8909548109933	0.827504134275072
"79"	"KCP"	1	0	1
"80"	"UBN2"	0.0200204290091931	24.56021585398	0.633828160143949
"81"	"KLRG2"	1	0	1
"82"	"MAL2"	0.0888888888888888	Inf	0.633828160143949
"83"	"GPR20"	1	0	1
"84"	"ZNF517"	1	0	1
"85"	"CHMP5"	0.246169560776302	5.5131938040198	1
"86"	"ARHGEF39"	1	0	1
"87"	"KIF27"	1	0	1
"88"	"TRIM14"	1	0	1
"89"	"CDX4"	0.170786516853933	10.8909548109933	0.827504134275072
"90"	"PCGF6"	0.0888888888888888	Inf	0.633828160143949
"91"	"C17orf64"	1	0	1
"92"	"ATXN1"	1	0	1
"93"	"SPATA31C1"	1	0	1
"94"	"AGPAT2"	1	0	1
"95"	"FHAD1"	0.170786516853933	10.8909548109933	0.827504134275072
"96"	"OR6N2"	0.0888888888888888	Inf	0.633828160143949
"97"	"PAPPA2"	0.0888888888888888	Inf	0.633828160143949
"98"	"ABL2"	1	0	1
"99"	"TPR"	1	0	1
"100"	"WDR37"	1	0	1
"101"	"GPRIN2"	1	0	1
"102"	"MUC5B"	0.246169560776302	5.5131938040198	1
"103"	"B3GNT6"	1	0	1
"104"	"ITPR2"	1	0	1
"105"	"NUDT4"	1	0	1
"106"	"BTBD11"	1	0	1
"107"	"FAM109A"	1	0	1
"108"	"CCDC168"	1	0	1
"109"	"ACIN1"	0.379162902098847	2.74050267948522	1
"110"	"ASB2"	1	0	1
"111"	"LACTB"	0.246169560776302	5.5131938040198	1
"112"	"NAGPA"	1	0	1
"113"	"CIITA"	0.491157045249643	1.794922601213	1
"114"	"HYDIN"	0.170786516853933	10.8909548109933	0.827504134275072
"115"	"PIEZO1"	0.170786516853933	10.8909548109933	0.827504134275072
"116"	"WDR81"	1	0	1
"117"	"ZZEF1"	0.0888888888888888	Inf	0.633828160143949
"118"	"GLTPD2"	0.540202149321967	1.52228009354473	1
"119"	"GUCY2D"	1	0	1
"120"	"RNF135"	1	0	1
"121"	"KRT26"	1	0	1
"122"	"GRIN2C"	1	0	1
"123"	"NDC80"	1	0	1
"124"	"KIAA1328"	1	0	1
"125"	"PPAP2C"	0.246169560776302	5.5131938040198	1
"126"	"JSRP1"	1	0	1
"127"	"C19orf10"	0.170786516853933	10.8909548109933	0.827504134275072
"128"	"RANBP3"	1	0	1
"129"	"KANK3"	0.246169560776302	5.5131938040198	1
"130"	"NWD1"	1	0	1
"131"	"UBA2"	1	0	1
"132"	"ZNF585B"	1	0	1
"133"	"GLTSCR2"	0.379162902098847	2.74050267948522	1
"134"	"PRR12"	0.0888888888888888	Inf	0.633828160143949
"135"	"SCAF1"	1	0	1
"136"	"MYH14"	1	0	1
"137"	"VN1R2"	0.170786516853933	10.8909548109933	0.827504134275072
"138"	"ZNF787"	0.0888888888888888	Inf	0.633828160143949
"139"	"ZNF444"	1	0	1
"140"	"TPO"	1	0	1
"141"	"APOB"	0.246169560776302	5.5131938040198	1
"142"	"LONRF2"	0.0888888888888888	Inf	0.633828160143949
"143"	"INHBB"	1	0	1
"144"	"NRP2"	1	0	1
"145"	"ABCA12"	1	0	1
"146"	"SP110"	1	0	1
"147"	"RBM44"	1	0	1
"148"	"ZCCHC3"	1	0	1
"149"	"LZTS3"	1	0	1
"150"	"FAM182B"	1	0	1
"151"	"DNMT3B"	1	0	1
"152"	"STK4"	1	0	1
"153"	"TMPRSS2"	1	0	1
"154"	"IL17RA"	1	0	1
"155"	"GSTT2"	1	0	1
"156"	"TRIOBP"	1	0	1
"157"	"DOCK3"	1	0	1
"158"	"CCDC54"	1	0	1
"159"	"HEG1"	1	0	1
"160"	"ZBBX"	1	0	1
"161"	"COQ2"	1	0	1
"162"	"USP38"	1	0	1
"163"	"NSUN2"	1	0	1
"164"	"PRDM9"	0.170786516853933	10.8909548109933	0.827504134275072
"165"	"SPEF2"	1	0	1
"166"	"ENC1"	1	0	1
"167"	"ABLIM3"	0.170786516853933	10.8909548109933	0.827504134275072
"168"	"TAP2"	1	0	1
"169"	"KCNK17"	1	0	1
"170"	"NFKBIE"	1	0	1
"171"	"PGK2"	0.0888888888888888	Inf	0.633828160143949
"172"	"STX7"	1	0	1
"173"	"CARD11"	1	0	1
"174"	"ZAN"	1	0	1
"175"	"CFTR"	1	0	1
"176"	"PODXL"	0.0888888888888888	Inf	0.633828160143949
"177"	"GPR124"	1	0	1
"178"	"ODF1"	0.315487302314114	3.67391382113383	1
"179"	"DPYS"	0.116220131223065	4.9787627604232	0.821234528050644
"180"	"ENPP2"	1	0	1
"181"	"FAM83H"	1	0	1
"182"	"PLEC"	0.0888888888888888	Inf	0.633828160143949
"183"	"SCRT1"	1	0	1
"184"	"JAK2"	0.590183186387541	0	1
"185"	"ANKRD18B"	1	0.922916805732437	1
"186"	"ODF2"	1	0	1
"187"	"LRRC26"	0.0888888888888888	Inf	0.633828160143949
"188"	"PPP2R3B"	0.170786516853933	10.8909548109933	0.827504134275072
"189"	"FRMPD4"	1	0	1
"190"	"SCML2"	1	0	1
"191"	"SUPT20HL2"	1	0	1
"192"	"SUPT20HL1"	1	0	1
"193"	"ZNF711"	1	0	1
"194"	"CELSR2"	0.246169560776302	5.5131938040198	1
"195"	"CBX4"	1	0	1
"196"	"HSPBP1"	0.379162902098847	2.74050267948522	1
"197"	"LAMA5"	0.170786516853933	10.8909548109933	0.827504134275072
