"Original_molecule_SMILES"	"CID"	"CSID"	"Structure_ID"	"Supplier"	"Supplier_ID"	"Supplier_Molname"	"Supplier_Data_1"	"Supplier_Data_2"	"Supplier_Data_3"
"1"	"OS(O)(=O)=O.CN1C2CCC1CC(C2)OC(=O)C(CO)C1=CC=CC=C1.CN1C2CCC1CC(C2)OC(=O)C(CO)C1=CC=CC=C1"	5927	"17961422"	2856	"LOPAC"	"A0257"	"Atropine sulfate"	"Muscarinic acetylcholine receptor antagonist"	NA	NA
"2"	"CS(O)(=O)=O.CN([C@H]1CCCC[C@@H]1N1CCCC1)C(=O)CC1=CC=C(Cl)C(Cl)=C1"	9912313	"8087964"	2738	"LOPAC"	"D8040"	"() trans-U-50488 methanesulfonate; trans-()-3,4-Dichloro-
N-methyl-N-[2-(1-pyrrolidinyl)-cyclohexyl]-benzeneacetamide methanesulfonate"	"Selective kappa opioid receptor agonist."	NA	NA
"3"	"CN1C2CCC1CC(C2)OC(=O)C(CO)C1=CC=CC=C1"	3661	"3534"	2858	"LOPAC"	"H9002"	"L-Hyoscyamine; [3(S)-endo]-alpha-(Hydroxymethyl)benzeneacetic acid 8-methyl-8-azabicyclo[3.2.1]oct-3-yl ester"	"Competitive antagonist at post-ganglionic synapses and on smooth muscle"	NA	NA
"4"	"CN1C2CCC1CC(C2)OC(=O)C(CO)C1=CC=CC=C1"	3661	"3534"	4968	"John Hopkins"	"JHU- 857"	NA	"Therapeutic area: Mydriatic, Therapeutic plant extract, Antispasmodic"	NA	NA
"5"	"O.OS(O)(=O)=O.CN1C2CCC1CC(C2)OC(=O)C(CO)C1=CC=CC=C1.CN1C2CCC1CC(C2)OC(=O)C(CO)C1=CC=CC=C1"	64663	"58212"	2856	"Prestwick"	"Prestw-565"	"Atropine sulfate monohydrate"	NA	NA	NA
"6"	"OS(O)(=O)=O.CN1C2CCC1CC(C2)OC(=O)C(CO)C1=CC=CC=C1"	17184	"16267"	2856	"Spectrum"	"01500131"	NA	"CAS: 51-55-8, 5908-99-6 [atropine sulfate], 55-48-1 [anhydrous] Source: Atropa and Datura spp Status: USP, BAN Therapeutic area: anticholinergic, mydriatic"	NA	NA
"7"	"Cl.CNC(C)C(O)C1=CC=CC=C1"	8648	"8327"	5012	"Spectrum"	"01500525"	NA	"CAS: 134-71-4, 90-81-3 [racephedrine] Source: synthetic Status: USAN, INN, BAN Therapeutic area: bronchodilator, decongestant"	NA	NA
"8"	"C[C@@H](N)[C@@H](O)C1=CC=CC=C1"	26934	"25082"	4387	"Spectrum"	"02300253"	NA	"CAS: 14838-15-4 Source: Ephedra vulgaris (MaHuang) Status: experimental Literature: Phytochemistry 16: 9 (1977) Therapeutic area: decongestant"	NA	NA
"9"	"Cl[H].CN([C@H]1CCCC[C@@H]1N1CCCC1)C(=O)CC1=CC(Cl)=C(Cl)C=C1"	9931141	"8106772"	2740	"Tocris"	"0495"	"()-U-50488 hydrochloride"	"CAS: 67198-13-4"	" kappa-opioid agonist "	NA
"10"	"Cl[H].CN([C@H]1CCCC[C@@H]1N1CCCC1)C(=O)CC1=CC(Cl)=C(Cl)C=C1"	9931141	"8106772"	2739	"Tocris"	"0471"	"(+)-U-50488 hydrochloride"	"CAS: 67198-17-8"	" kappa-opioid agonist "	NA
"11"	"Cl[H].CN([C@H]1CCCC[C@@H]1N1CCCC1)C(=O)CC1=CC(Cl)=C(Cl)C=C1"	9931141	"8106772"	2745	"Tocris"	"0496"	"(-)-U-50488 hydrochloride"	"CAS: 67198-19-0"	" kappa-opioid agonist "	NA
"12"	"CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC12C"	2307	"2217"	1334	"John Hopkins"	"JHU- 1000"	NA	"Therapeutic area: Antiinflammatory, Glucocorticoid"	NA	NA
"13"	"CCC(C)C1NC2C=CC3=C(N=C(C=C3C(C)O)C(=O)OC(C)C3NC(=O)C4=CSC(=N4)C(NC(=O)C4CSC(=N4)C(NC(=O)C(NC(=O)C4=CSC(=N4)C4(CCC(=NC4C4=CSC3=N4)C3=NC(=CS3)C(=O)NC(=C)C(=O)NC(=C)C(N)=O)NC(=O)C(C)NC(=O)C(=C)NC(=O)C(C)NC1=O)C(C)O)=CC)C(C)(O)C(C)O)C2O"	16129995	"17286449"	2290	"John Hopkins"	"JHU- 10052"	NA	"Therapeutic area: Antibiotic"	NA	NA
"14"	"CC(C)(C)NC[C@@H](O)COC1=NSN=C1N1CCOCC1"	168613	"147496"	556	"John Hopkins"	"JHU- 10178"	NA	"Therapeutic area: Antihypertensive"	NA	NA
"15"	"CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1"	5514	"5313"	1131	"John Hopkins"	"JHU- 10335"	NA	"Therapeutic area: Anticonvulsant"	NA	NA
"16"	"CN(C)CCOC1=CC=C(C=C1)C(=C(/CCCl)C1=CC=CC=C1)C1=CC=CC=C1"	5516	"5020279"	4804	"John Hopkins"	"JHU- 10346"	NA	"Therapeutic area: Antineoplastic"	NA	NA
"17"	"COC1=CC(=CC=C1)C1(O)CCCCC1CN(C)C"	5523	"5322"	4142	"John Hopkins"	"JHU- 10363"	NA	"Therapeutic area: Analgesic"	NA	NA
"18"	"NCC1CCC(CC1)C(O)=O"	5526	"5325"	7994	"John Hopkins"	"JHU- 10368"	NA	"Therapeutic area: Hemostatic"	NA	NA
"19"	"NC1CC1C1=CC=CC=C1"	5530	"5329"	8069	"John Hopkins"	"JHU- 10372"	NA	"Therapeutic area: Antidepressant"	NA	NA
"20"	"OC[C@H]1OC(C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F"	6708818	"5140972"	7387	"John Hopkins"	"JHU- 10476"	NA	"Therapeutic area: Antiviral"	NA	NA
"21"	"OC[C@H]1OC(C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F"	6708818	"5140972"	7387	"Prestwick"	"Prestw-1056"	"Trifluridine"	NA	NA	NA
"22"	"OC[C@H]1OC(C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F"	6708818	"5140972"	7387	"Spectrum"	"01504183"	NA	"CAS: 70-00-8 Source: synthetic Status: USP, INN Therapeutic area: antiviral (opthalmic)"	NA	NA
"23"	"CC1=CC=C(C=C1)C(=CCN1CCCC1)C1=NC=CC=C1"	5588	"600006"	5400	"John Hopkins"	"JHU- 10524"	NA	"Therapeutic area: Antihistaminic"	NA	NA
"24"	"CC(N(CC1=C(N)N=C(C)N=C1)C=O)=C(CCOP(O)(O)=O)SC(=O)C1=CC=CC=C1"	2320	"4445364"	5052	"John Hopkins"	"JHU- 1060"	NA	"Therapeutic area: Vitamin (enzyme cofactor), Vitamin"	NA	NA
"25"	"CC(C)C(N)C(=O)OCCOCN1C=NC2=C1N=C(N)NC2=O"	5647	"5445"	846	"John Hopkins"	"JHU- 10640"	NA	"Therapeutic area: Antiviral"	NA	NA
"26"	"CNC(CC(C)C)C(=O)NC1C(O)C2=CC(Cl)=C(OC3=C(OC4OC(CO)C(O)C(O)C4OC4CC(C)(N)C(O)C(C)O4)C4=CC(=C3)C(NC(=O)C(CC(N)=O)NC1=O)C(=O)NC1C3=CC(=C(O)C=C3)C3=C(C=C(O)C=C3O)C(NC(=O)C(NC1=O)C(O)C1=CC(Cl)=C(O4)C=C1)C(O)=O)C=C2"	5651	"5449"	5027	"John Hopkins"	"JHU- 10669"	NA	"Therapeutic area: Antibiotic"	NA	NA
"27"	"CCC1=CC2CN(C1)CC1=C(NC3=C1C=CC=C3)C(C2)(C(=O)OC)C1=C(OC)C=C2N(C)C3C4(CCN5CC=CC(CC)(C45)C(OC(C)=O)C3(O)C(=O)OC)C2=C1"	5672	"5470"	1432	"John Hopkins"	"JHU- 10754"	NA	"Therapeutic area: Antineoplastic"	NA	NA
"28"	"CC(C1=C(F)C=NC=N1)C(O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1"	5231054	"4400914"	4390	"John Hopkins"	"JHU- 10799"	NA	"Therapeutic area: Antifungal"	NA	NA
"29"	"OCC(O)C(O)C(O)CO"	827	"804"	7260	"John Hopkins"	"JHU- 10868"	NA	"Therapeutic area: Pharmaceutic aid, Phamaceutic aid"	NA	NA
"30"	"[Cl-].COC(=O)C1C(O)CCC2CN3CCC4=C(NC5=C4C=CC=C5)C3CC12"	5351494	"14158520"	3013	"John Hopkins"	"JHU- 10879"	NA	"Therapeutic area: Erectile dysfunction"	NA	NA
"31"	"CC(N)C(O)C1=CC(O)=CC=C1"	4087	"3945"	4532	"John Hopkins"	"JHU- 11024"	NA	"Therapeutic area: Antihypotensive"	NA	NA
"32"	"COC1=C(O)C2=C(C=C1O)C(=O)OC1C(O)C(O)C(CO)OC21"	2356	"2266"	3341	"John Hopkins"	"JHU- 1158"	NA	"Therapeutic area: Antiulcerative"	NA	NA
"33"	"CC(=O)NC(CS)C(O)=O"	581	"561"	273	"John Hopkins"	"JHU- 117"	NA	"Therapeutic area: MISC- Mucolytic, Expectorant"	NA	NA
"34"	"C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O"	5702036	"4642420"	4433	"John Hopkins"	"JHU- 1180"	NA	"Therapeutic area: Glucocorticoid"	NA	NA
"35"	"[Na+].[Na+].CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP([O-])([O-])=O"	517289	NA	4396	"John Hopkins"	"JHU- 1185"	NA	"Therapeutic area: Glucocorticoid"	NA	NA
"36"	"CC(C)CC(NC(C)=O)C(O)=O"	1995	"1918"	766	"John Hopkins"	"JHU- 119"	NA	"Therapeutic area: Antiemetic"	NA	NA
"37"	"CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CO"	2308	"2218"	4544	"John Hopkins"	"JHU- 12055"	NA	"Therapeutic area: Glucocorticoid"	NA	NA
"38"	"CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CO"	2308	"2218"	4544	"NIHCC"	"SAM001246898"	"GPHR-00104233"	NA	NA	NA
"39"	"OC(C(O)C(O)=O)C(O)=O.NCC(O)C1=CC(O)=C(O)C=C1"	297812	"262966"	7923	"John Hopkins"	"JHU- 12074"	NA	"Therapeutic area: Laxative"	NA	NA
"40"	"CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO"	521440	"454849"	4635	"John Hopkins"	"JHU- 12165"	NA	NA	NA	NA
"41"	"OC(C(O)C(O)=O)C(O)=O.CN1CCC23CCCCC2C1CC1=C3C=C(O)C=C1"	260127	"228313"	4891	"John Hopkins"	"JHU- 12192"	NA	"Therapeutic area: Analgesic (narcotic)"	NA	NA
"42"	"CN1CCC2(C)C1N(C)C1=C2C=C(O)C=C1"	1250	"1212"	2838	"John Hopkins"	"JHU- 12249"	NA	"Therapeutic area: N/A"	NA	NA
"43"	"NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O)N2C=O)N1"	143	"140"	6745	"John Hopkins"	"JHU- 12284"	NA	NA	NA	NA
"44"	"COC1=C(O)C=C(C=C1)C1CC(=O)C2=C(O1)C=C(O)C=C2O"	3593	"3467"	3944	"John Hopkins"	"JHU- 12321"	NA	"Therapeutic area: Vitamin"	NA	NA
"45"	"COC1=CC(=O)OC(C1)C=CC1=CC=CC=C1"	10376	"4520267"	3166	"John Hopkins"	"JHU- 12372"	NA	"Therapeutic area: N/A"	NA	NA
"46"	"CC1CC2C3CCC(O)(C(C)=O)C3(C)CCC2C2(C)CCC(=O)C=C12"	541103	"471209"	4575	"John Hopkins"	"JHU- 12397"	NA	"Therapeutic area: progestogen"	NA	NA
"47"	"CCN(CC)CCOC(=O)C1=CC=C(N)C=C1.CC1(C)SC2C(NC(=O)CC3=CC=CC=C3)C(=O)N2C1C(O)=O"	517319	"451343"	1152	"John Hopkins"	"JHU- 12469"	NA	"Therapeutic area: Antibiotic"	NA	NA
"48"	"[Na+].CC1(C)SC2C(NC(=O)CC3=CC=CC=C3)C(=O)N2C1C([O-])=O"	517294	NA	1152	"John Hopkins"	"JHU- 12470"	NA	"Therapeutic area: Antibiotic"	NA	NA
"49"	"[K+].CC1(C)SC2C(NC(=O)COC3=CC=CC=C3)C(=O)N2C1C([O-])=O"	4769	NA	1151	"John Hopkins"	"JHU- 12471"	NA	"Therapeutic area: Antibiotic"	NA	NA
"50"	"OCC1OC(OC2=C(C(=O)CCC3=CC=C(O)C=C3)C(O)=CC(O)=C2)C(O)C(O)C1O"	4789	"4625"	7368	"John Hopkins"	"JHU- 12489"	NA	"Therapeutic area: N/A"	NA	NA
"51"	"COC1=CC2=C(C=C1)N=CC=C2C(O)C1CC2CCN1CC2C=C"	1065	"1036"	4083	"John Hopkins"	"JHU- 12532"	NA	"Therapeutic area: Antimalarial"	NA	NA
"52"	"OS(O)(=O)=O.COC1=CC2=C(C=C1)N=CC=C2C(O)C1CC2CCN1CC2C=C"	11069	"10598"	4083	"John Hopkins"	"JHU- 12534"	NA	"Therapeutic area: Antimalarial"	NA	NA
